k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.43377791785453346,0.39794678117941445,0.4711817543658582,,0
12,D20170712,2017-07-12,0.3938369411056831,0.3615658233409262,0.433440659188478,,0
13,D20170724,2017-07-24,0.40882197040241824,0.3690341031187771,0.4447234837089141,,0
14,D20170805,2017-08-05,0.43699172432894473,0.3986961520278498,0.4792713063908428,,0
15,D20170817,2017-08-17,0.39839023155642783,0.35735588011976566,0.4357772946721487,,0
16,D20170829,2017-08-29,0.47657693795395617,0.4445250681680348,0.5102866877736869,,0
17,D20170910,2017-09-10,0.46607356894880353,0.43014423926383294,0.5045454111332369,,0
18,D20170922,2017-09-22,0.43243127086228383,0.39541913193797784,0.46307011637513185,,0
19,D20171004,2017-10-04,0.42509634256407314,0.39425741013996535,0.46142596545516185,,0
20,D20171016,2017-10-16,0.420106108142439,0.38314530416553255,0.45298435119789504,,0
21,D20171028,2017-10-28,0.4118590891508961,0.378164501048188,0.44730945183826865,,0
22,D20171109,2017-11-09,0.40748964944200106,0.37719904588627995,0.44500463208362584,,0
23,D20171121,2017-11-21,0.3947347057671829,0.36206228003571955,0.4286566002416324,,0
24,D20171203,2017-12-03,0.36154129001141305,0.32726745268827995,0.39675169166559215,,0
25,D20171215,2017-12-15,0.33183626300684305,0.2949201084958144,0.3637136536634051,,0
26,D20171227,2017-12-27,0.3665171984012148,0.3315541595633425,0.4018422083100535,1.0,1
27,D20180108,2018-01-08,0.4076949892315994,0.3697134554866314,0.4411319475285207,1.0,1
28,D20180120,2018-01-20,0.4103071023690481,0.3770787072188875,0.447157834668042,1.0,1
29,D20180201,2018-02-01,0.4203639767154229,0.38177657120754116,0.4510074781886165,1.0,1
30,D20180213,2018-02-13,0.42003209031130473,0.3840963139120095,0.45001569894321636,1.0,1
31,D20180225,2018-02-25,0.8990158016131112,0.8755059476908825,0.9198359430587988,,0
