k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.0016499875346198678,0.0055220951326191425,0.005549156107008457,-0.0038721075979992747,-0.005541770195122808,-0.0021683231578208512,0
12,D20170712,2017-07-12,0.002824600785970688,0.008637333288788795,0.009888844564557076,-0.005812732502818108,-0.008581570931710303,-0.0030734841478988533,0
13,D20170724,2017-07-24,0.004260442219674587,0.010224253870546818,0.013200996443629265,-0.0059638116508722305,-0.008630613703280688,-0.003198680805508052,0
14,D20170805,2017-08-05,0.007249515037983656,0.012003972195088863,0.015763666480779648,-0.0047544571571052074,-0.008080222876742482,-0.0012321093818172834,0
15,D20170817,2017-08-17,0.008555167354643345,0.014393545687198639,0.018368840217590332,-0.005838378332555294,-0.010416143527254462,-0.002048616786487402,0
16,D20170829,2017-08-29,0.016971154138445854,0.026048272848129272,0.023380614817142487,-0.009077118709683418,-0.01458734618499875,-0.0032258700113743607,0
17,D20170910,2017-09-10,0.01781899854540825,0.027977585792541504,0.02479596808552742,-0.010158587247133255,-0.01556610492989421,-0.004843681585043674,0
18,D20170922,2017-09-22,0.01896994188427925,0.031191999092698097,0.029481468722224236,-0.012222057208418846,-0.017949906550347804,-0.006412454415112734,0
19,D20171004,2017-10-04,0.019866203889250755,0.033915091305971146,0.032797060906887054,-0.01404888741672039,-0.020087189320474864,-0.006716142548248191,0
20,D20171016,2017-10-16,0.027727408334612846,0.049591291695833206,0.05379899963736534,-0.02186388336122036,-0.029559542331844567,-0.013281824579462411,0
21,D20171028,2017-10-28,0.031135516241192818,0.05777335911989212,0.05938015505671501,-0.026637842878699303,-0.035891733784228566,-0.017558179423213017,0
22,D20171109,2017-11-09,0.031437527388334274,0.059682831168174744,0.060563959181308746,-0.02824530377984047,-0.036532910726964476,-0.017895347718149435,0
23,D20171121,2017-11-21,0.03180251270532608,0.06334386765956879,0.06302278488874435,-0.031541354954242706,-0.04056983925402165,-0.02168270684778691,0
24,D20171203,2017-12-03,0.0332392118871212,0.081134133040905,0.06695642322301865,-0.0478949211537838,-0.05891939420253038,-0.03563596857711673,0
25,D20171215,2017-12-15,0.0386105515062809,0.10975731164216995,0.07745356112718582,-0.07114676013588905,-0.08318913392722607,-0.05715960329398513,0
26,D20171227,2017-12-27,0.04706113785505295,0.13207443058490753,0.08545350283384323,-0.08501329272985458,-0.10114747453480959,-0.06972356215119364,1
27,D20180108,2018-01-08,0.07127965241670609,0.16573695838451385,0.09634425491094589,-0.09445730596780777,-0.1117913644760847,-0.07737042251974345,1
28,D20180120,2018-01-20,0.0780545175075531,0.17662297189235687,0.09957125782966614,-0.09856845438480377,-0.11859673000872135,-0.07931994013488293,1
29,D20180201,2018-02-01,0.08705303072929382,0.18385359644889832,0.1023532822728157,-0.09680056571960449,-0.12010411899536848,-0.07450652848929167,1
30,D20180213,2018-02-13,0.09281505644321442,0.19202955067157745,0.10696223378181458,-0.09921449422836304,-0.12091621421277524,-0.07696769312024124,1
31,D20180225,2018-02-25,0.835895836353302,0.30149680376052856,0.127494677901268,0.5343990325927734,0.49900061786174776,0.5713877946138382,0
