k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20240518,2024-05-18,0.46266094420600856,0.23560085836909872,0.6499141630901286,0
12,D20240530,2024-05-30,0.4678111587982833,0.23424892703862663,0.7115879828326179,0
13,D20240611,2024-06-11,0.4849785407725322,0.30491416309012875,0.6689270386266093,0
14,D20240623,2024-06-23,0.5776824034334764,0.3526609442060085,0.7729828326180257,0
15,D20240705,2024-07-05,0.5313304721030043,0.3039699570815451,0.7485407725321888,0
16,D20240717,2024-07-17,0.5184549356223176,0.33160944206008586,0.701909871244635,0
17,D20240729,2024-07-29,0.5004291845493563,0.3101931330472103,0.7080472103004289,0
18,D20240822,2024-08-22,0.5141630901287553,0.3521673819742489,0.7064377682403433,0
19,D20240903,2024-09-03,0.5347639484978541,0.36238197424892704,0.7262231759656652,0
20,D20240915,2024-09-15,0.5562231759656653,0.40339055793991413,0.7380042918454933,0
21,D20240927,2024-09-27,0.5278969957081545,0.3643133047210301,0.7224248927038627,0
22,D20241009,2024-10-09,0.5278969957081545,0.39611587982832613,0.7226394849785405,0
23,D20241021,2024-10-21,0.5184549356223176,0.3586266094420601,0.6828540772532189,0
24,D20241102,2024-11-02,0.3768240343347639,0.196931330472103,0.5421244635193132,0
25,D20241114,2024-11-14,0.4017167381974248,0.22015021459227468,0.5671459227467809,0
26,D20241126,2024-11-26,0.4248927038626609,0.19141630901287554,0.6287768240343348,0
27,D20241208,2024-12-08,0.4291845493562232,0.22444206008583692,0.6017596566523604,0
28,D20241220,2024-12-20,0.46695278969957077,0.2565665236051502,0.6503648068669525,1
29,D20250101,2025-01-01,0.4841201716738197,0.24315450643776826,0.684206008583691,1
30,D20250113,2025-01-13,0.5107296137339055,0.31927038626609444,0.7024463519313302,1
31,D20250125,2025-01-25,0.5510729613733906,0.31570815450643774,0.7473175965665235,1
32,D20250206,2025-02-06,0.6137339055793991,0.3120815450643777,0.811244635193133,1
33,D20250218,2025-02-18,0.7879828326180258,0.5647210300429184,0.9463733905579399,0
