k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,1.522192542324774e-05,0.000136971750180237,0.00037939706817269325,-0.00012174982475698926,-0.00019433719862718135,-5.952808623987949e-05,0
12,D20170712,2017-07-12,0.00011739745241357014,0.0004984426195733249,0.0018487024353817105,-0.0003810451671597548,-0.0006527838006149978,-0.00016590828017797336,0
13,D20170724,2017-07-24,0.00015341948892455548,0.0006749145686626434,0.0033150629606097937,-0.000521495079738088,-0.0008382231171708554,-0.0002514488915039692,0
14,D20170805,2017-08-05,0.0023735137656331062,0.0016109866555780172,0.004938208498060703,0.000762527110055089,-0.0013605426560388877,0.003641144314315167,0
15,D20170817,2017-08-17,0.0024260440841317177,0.0018287742277607322,0.005496131721884012,0.0005972698563709855,-0.001907097958610393,0.0033894266467541395,0
16,D20170829,2017-08-29,0.005726471543312073,0.007711611222475767,0.00951604824513197,-0.0019851396791636944,-0.005822191317565739,0.0034793942933902143,0
17,D20170910,2017-09-10,0.005768198985606432,0.00785012636333704,0.009706232696771622,-0.002081927377730608,-0.005811483692377805,0.00216479490045458,0
18,D20170922,2017-09-22,0.0059907156974077225,0.011728868819773197,0.01287738885730505,-0.005738153122365475,-0.010732671036385,-0.0007178572472184917,0
19,D20171004,2017-10-04,0.006090789567679167,0.01400375459343195,0.013252433389425278,-0.007912965025752783,-0.01384256137534976,-0.002590749110095206,0
20,D20171016,2017-10-16,0.006590795237571001,0.023665471002459526,0.02078743278980255,-0.017074675764888525,-0.025593656580895185,-0.008969882456585768,0
21,D20171028,2017-10-28,0.008021730929613113,0.03773326054215431,0.026005463674664497,-0.0297115296125412,-0.040135542117059234,-0.018867591256275785,0
22,D20171109,2017-11-09,0.008086973801255226,0.04216431453824043,0.02693355269730091,-0.03407734073698521,-0.04522814219817519,-0.023031671950593597,0
23,D20171121,2017-11-21,0.008241902105510235,0.04774251952767372,0.02962164580821991,-0.039500617422163486,-0.049763061851263043,-0.027527405694127087,0
24,D20171203,2017-12-03,0.01137115340679884,0.08697746694087982,0.03395586833357811,-0.07560631353408098,-0.09001843109726906,-0.0598971175029874,0
25,D20171215,2017-12-15,0.015523203648626804,0.12542155385017395,0.042171917855739594,-0.10989835020154715,-0.12658693194389342,-0.09339480120688677,0
26,D20171227,2017-12-27,0.01639692485332489,0.14463293552398682,0.04368862882256508,-0.12823601067066193,-0.1500141441822052,-0.11133352760225534,1
27,D20180108,2018-01-08,0.024147402495145798,0.16962185502052307,0.04730505123734474,-0.14547445252537727,-0.1626359738409519,-0.1248403199017048,1
28,D20180120,2018-01-20,0.028556494042277336,0.1754707396030426,0.048758238554000854,-0.14691424556076527,-0.1718270618468523,-0.12448501083999873,1
29,D20180201,2018-02-01,0.04178714007139206,0.1784980744123459,0.05127505958080292,-0.13671093434095383,-0.16323125101625918,-0.11122734416276218,1
30,D20180213,2018-02-13,0.04503105580806732,0.18031102418899536,0.05498017743229866,-0.13527996838092804,-0.16010750122368336,-0.10822262763977052,1
31,D20180225,2018-02-25,0.8070093989372253,0.2868120074272156,0.07105881720781326,0.5201973915100098,0.47537192329764366,0.5614439234137535,0
