k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.4063769943030146,0.3722390752068918,0.44207943545883893,,0
12,D20170712,2017-07-12,0.4201037204704669,0.3789892029473423,0.46156009292819317,,0
13,D20170724,2017-07-24,0.42369477911646586,0.38871580256817995,0.4640793853177275,,0
14,D20170805,2017-08-05,0.43268675176329574,0.393271122540101,0.4734865144287017,,0
15,D20170817,2017-08-17,0.3589435029057968,0.31866646132687704,0.39914061716545135,,0
16,D20170829,2017-08-29,0.4148627804917649,0.37807478427383734,0.4585806364578408,,0
17,D20170910,2017-09-10,0.4087240758515632,0.3688689956019083,0.4454399046841348,,0
18,D20170922,2017-09-22,0.40263789999474714,0.3660744643257931,0.4431079251608097,,0
19,D20171004,2017-10-04,0.4044167156139421,0.36740302470285424,0.4444214432044467,,0
20,D20171016,2017-10-16,0.396518296730322,0.35904342697782804,0.43472391348986905,,0
21,D20171028,2017-10-28,0.38858645043909285,0.35716253838182693,0.4240560338858406,,0
22,D20171109,2017-11-09,0.379143207789541,0.34592275164868747,0.4128231117096209,,0
23,D20171121,2017-11-21,0.35797410808513486,0.3251026698947992,0.39006155418344013,,0
24,D20171203,2017-12-03,0.33499037768195256,0.3026380193783457,0.3689902893380895,,0
25,D20171215,2017-12-15,0.3106647756304648,0.2787447053374019,0.34082017726076724,,0
26,D20171227,2017-12-27,0.3160083855039659,0.2865122797969523,0.347754872044659,1.0,1
27,D20180108,2018-01-08,0.3805567095970087,0.34480764914592976,0.41686854433190557,1.0,1
28,D20180120,2018-01-20,0.3869628334980827,0.35137577659030894,0.4253040700256436,1.0,1
29,D20180201,2018-02-01,0.4216533195803428,0.3873053450424767,0.4586353738378007,1.0,1
30,D20180213,2018-02-13,0.4242558820299032,0.38457504214241034,0.45800896809592706,1.0,1
31,D20180225,2018-02-25,0.869695189796045,0.8439835441647685,0.8935153216910448,,0
