k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20240518,2024-05-18,0.01361264381557703,0.010274839587509632,0.01181416492909193,0.003337804228067398,0.0007565260399132967,0.005763727100566029,0
12,D20240530,2024-05-30,0.025330524891614914,0.02008705958724022,0.020564889535307884,0.005243465304374695,0.0009685071185231209,0.009145711222663515,0
13,D20240611,2024-06-11,0.035624705255031586,0.028726007789373398,0.028287220746278763,0.006898697465658188,0.0010606647469103337,0.012378878565505147,0
14,D20240623,2024-06-23,0.04685123637318611,0.0371437706053257,0.03371913358569145,0.009707465767860413,0.0015694689936935904,0.017551991622894995,0
15,D20240705,2024-07-05,0.05364929884672165,0.0423969142138958,0.03875167295336723,0.011252384632825851,0.00290451655164361,0.020500067435204983,0
16,D20240717,2024-07-17,0.05894818156957626,0.04682672768831253,0.041253961622714996,0.012121453881263733,0.0036189738661050797,0.02022054586559534,0
17,D20240729,2024-07-29,0.06466702371835709,0.05104334279894829,0.04400218650698662,0.013623680919408798,0.004900284111499786,0.022633539885282508,0
18,D20240822,2024-08-22,0.06990241259336472,0.05584380403161049,0.046753715723752975,0.014058608561754227,0.004806066304445267,0.023168600630015114,0
19,D20240903,2024-09-03,0.07533984631299973,0.06060715764760971,0.04847743362188339,0.014732688665390015,0.005126452818512916,0.024487047269940374,0
20,D20240915,2024-09-15,0.08092601597309113,0.0650211051106453,0.05039244890213013,0.01590491086244583,0.005345374345779419,0.026119693461805576,0
21,D20240927,2024-09-27,0.08590017259120941,0.06954020261764526,0.0578874833881855,0.016359969973564148,0.003633210249245167,0.026332316361367694,0
22,D20241009,2024-10-09,0.09038353711366653,0.07518421113491058,0.06309471279382706,0.015199325978755951,0.001985416188836098,0.027079966291785235,0
23,D20241021,2024-10-21,0.0944209173321724,0.08075743913650513,0.06566624343395233,0.013663478195667267,0.0014660419896245006,0.02780315801501273,0
24,D20241102,2024-11-02,0.09901385009288788,0.09290265291929245,0.11223963648080826,0.0061111971735954285,-0.007689113169908524,0.018871166184544562,0
25,D20241114,2024-11-14,0.10781154781579971,0.1046566441655159,0.11675441265106201,0.0031549036502838135,-0.013314003311097621,0.018558569625020005,0
26,D20241126,2024-11-26,0.11597170680761337,0.11347965151071548,0.12068264186382294,0.002492055296897888,-0.012850837782025337,0.015691315382719038,0
27,D20241208,2024-12-08,0.12651072442531586,0.13105475902557373,0.12444913387298584,-0.0045440346002578735,-0.0240868529304862,0.013074294105172142,0
28,D20241220,2024-12-20,0.17215166985988617,0.16252397000789642,0.13074277341365814,0.009627699851989746,-0.015860789641737937,0.0320313237607479,1
29,D20250101,2025-01-01,0.18935231864452362,0.17552779614925385,0.13484449684619904,0.013824522495269775,-0.010802837461233138,0.038097222894430155,1
30,D20250113,2025-01-13,0.20347465574741364,0.1878466159105301,0.13872380554676056,0.015628039836883545,-0.014440899714827538,0.04231705740094183,1
31,D20250125,2025-01-25,0.21606488525867462,0.19856563210487366,0.1435338705778122,0.017499253153800964,-0.012070467695593834,0.044718999043107034,1
32,D20250206,2025-02-06,0.23179645836353302,0.2122984230518341,0.1523415893316269,0.019498035311698914,-0.00986335352063179,0.05086608938872812,1
33,D20250218,2025-02-18,0.2966156005859375,0.23186974227428436,0.16048195958137512,0.06474585831165314,0.03154512494802475,0.09822598285973072,0
