k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,6.510622188216075e-05,0.00018569128587841988,0.00047295266995206475,-0.00012058506399625912,-0.0001894369826914044,-6.470735570474063e-05,0
12,D20170712,2017-07-12,0.0004796062712557614,0.0012573907151818275,0.002278102096170187,-0.0007777844439260662,-0.0013791165169095621,-0.00033652176862233326,0
13,D20170724,2017-07-24,0.0009163515060208738,0.0023326321970671415,0.004835009574890137,-0.0014162806910462677,-0.0021312377299182116,-0.0007129355173674424,0
14,D20170805,2017-08-05,0.0014132139040157199,0.003377750515937805,0.006546743214130402,-0.0019645366119220853,-0.002971075277309865,-0.00103808070125524,0
15,D20170817,2017-08-17,0.0016671228222548962,0.004588682670146227,0.008505425415933132,-0.0029215598478913307,-0.0044558349065482615,-0.0018347989302128554,0
16,D20170829,2017-08-29,0.003141378751024604,0.008387834765017033,0.010801059193909168,-0.005246456013992429,-0.007293335162103176,-0.002811988472240047,0
17,D20170910,2017-09-10,0.0032873002346605062,0.008901297114789486,0.01115752849727869,-0.00561399688012898,-0.008055073535069823,-0.003722308762371544,0
18,D20170922,2017-09-22,0.0035525497514754534,0.010616776533424854,0.012488311156630516,-0.007064226781949401,-0.0100607184227556,-0.004655457206536085,0
19,D20171004,2017-10-04,0.0039027940947562456,0.012986652553081512,0.013094386085867882,-0.009083858458325267,-0.013213499542325735,-0.0057828430086374295,0
20,D20171016,2017-10-16,0.004344142507761717,0.019389094784855843,0.024745918810367584,-0.015044952277094126,-0.02003287416882813,-0.00945668809581549,0
21,D20171028,2017-10-28,0.005330516491085291,0.028198812156915665,0.028980132192373276,-0.022868295665830374,-0.02985085593536496,-0.015389994299039249,0
22,D20171109,2017-11-09,0.005457133986055851,0.031819138675928116,0.029740719124674797,-0.026362004689872265,-0.03490982698276639,-0.019403468305245048,0
23,D20171121,2017-11-21,0.005677857901901007,0.03705669939517975,0.03180688992142677,-0.03137884149327874,-0.03827586257830262,-0.023044884204864523,0
24,D20171203,2017-12-03,0.006118221208453178,0.05531439930200577,0.03495469316840172,-0.04919617809355259,-0.05931635247543454,-0.039735155738890186,0
25,D20171215,2017-12-15,0.009266151115298271,0.09632977843284607,0.04097440466284752,-0.0870636273175478,-0.10218227542936802,-0.07476158123463393,0
26,D20171227,2017-12-27,0.009597188793122768,0.1032346710562706,0.04228001460433006,-0.09363748226314783,-0.10995571613311768,-0.0788324261084199,1
27,D20180108,2018-01-08,0.018721221014857292,0.12353090941905975,0.04693068936467171,-0.10480968840420246,-0.11907646283507348,-0.08918474428355694,1
28,D20180120,2018-01-20,0.020473770797252655,0.12794983386993408,0.04850614070892334,-0.10747606307268143,-0.1245756084099412,-0.0913640230894089,1
29,D20180201,2018-02-01,0.031445376574993134,0.13105715811252594,0.05013163760304451,-0.0996117815375328,-0.12023298516869545,-0.0805494286119938,1
30,D20180213,2018-02-13,0.03778081387281418,0.13452842831611633,0.05375578999519348,-0.09674761444330215,-0.11860252358019352,-0.07319970410317184,1
31,D20180225,2018-02-25,0.6776521801948547,0.20694845914840698,0.06672567129135132,0.47070372104644775,0.43154029846191405,0.5109142065048218,0
