k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.23008330239051902,0.20080086505032,0.2620403908474767,0
12,D20170712,2017-07-12,0.28759431538361147,0.25900337770316184,0.31729171151568736,0
13,D20170724,2017-07-24,0.30789063436862935,0.279350722231774,0.3423729213532388,0
14,D20170805,2017-08-05,0.3184104688330008,0.28724336126133027,0.3478876051032286,0
15,D20170817,2017-08-17,0.32769259072505397,0.3028641848843991,0.3588482482514299,0
16,D20170829,2017-08-29,0.388155813083248,0.36155071178104914,0.41480897206766865,0
17,D20170910,2017-09-10,0.3817122429037411,0.3559609706363528,0.41215523444058033,0
18,D20170922,2017-09-22,0.3588061323119556,0.3318967018090349,0.3870064621117881,0
19,D20171004,2017-10-04,0.3433766243773511,0.3161389472026492,0.37080670686102124,0
20,D20171016,2017-10-16,0.4524044131918007,0.4263123425468272,0.4805646618130996,0
21,D20171028,2017-10-28,0.4986830641910489,0.4755719785244829,0.5257539391286215,0
22,D20171109,2017-11-09,0.4948769776311145,0.4670556672065405,0.5197054376517944,0
23,D20171121,2017-11-21,0.4843906143822201,0.45968204271697655,0.5103726393763084,0
24,D20171203,2017-12-03,0.47158462366072995,0.44831101597901374,0.49948113596007726,0
25,D20171215,2017-12-15,0.4589474338172934,0.4335101949951142,0.4863493005479166,0
26,D20171227,2017-12-27,0.4838278645220046,0.45130968772559965,0.5128137806050921,1
27,D20180108,2018-01-08,0.5076742995485961,0.47850712118169286,0.5354868388291142,1
28,D20180120,2018-01-20,0.5095939580362462,0.4827187873691673,0.5369964327871505,1
29,D20180201,2018-02-01,0.5140261248856801,0.486769894062399,0.537514496166703,1
30,D20180213,2018-02-13,0.5144364482754137,0.48630758794862866,0.5415979423148884,1
31,D20180225,2018-02-25,0.9704485287353998,0.9598624983204193,0.9793115380336551,0
