k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20240518,2024-05-18,0.5427137669197756,0.49015219544404093,0.5848603499504788,,0
12,D20240530,2024-05-30,0.5668405414328161,0.5158296467481016,0.6211832287883791,,0
13,D20240611,2024-06-11,0.5727500825354903,0.5294869593925388,0.6268048861010234,,0
14,D20240623,2024-06-23,0.5835061076262793,0.5346817431495543,0.6341878507758335,,0
15,D20240705,2024-07-05,0.581512050181578,0.5301895014856389,0.6280904588973257,,0
16,D20240717,2024-07-17,0.5765863321228129,0.5341551667216903,0.6172558600198086,,0
17,D20240729,2024-07-29,0.5809706173654672,0.5340792340706504,0.6231165401122483,,0
18,D20240822,2024-08-22,0.5849191152195444,0.5337959722680752,0.6329191152195444,,0
19,D20240903,2024-09-03,0.5855926048200726,0.5375381313965005,0.6297943215582701,,0
20,D20240915,2024-09-15,0.5786860349950479,0.5287150874876196,0.6247972928359196,,0
21,D20240927,2024-09-27,0.5661142291185209,0.5210973918785078,0.6107273027401782,,0
22,D20241009,2024-10-09,0.5596830637173984,0.5112796302410036,0.6077933311323869,,0
23,D20241021,2024-10-21,0.553542423241994,0.5105767580059426,0.6008032353912182,,0
24,D20241102,2024-11-02,0.5471772862330803,0.4966011885110597,0.5981013535820402,,0
25,D20241114,2024-11-14,0.549290194783757,0.5020072631231429,0.5905817101353582,,0
26,D20241126,2024-11-26,0.548114889402443,0.5024027731924727,0.5962241663915483,,0
27,D20241208,2024-12-08,0.5390293826345329,0.4933700891383295,0.5794050841862,,0
28,D20241220,2024-12-20,0.5403631561571476,0.49291680422581713,0.5914390888081874,0.03980099502487562,1
29,D20250101,2025-01-01,0.5396830637173986,0.4958752063387256,0.5887840871574777,0.03980099502487562,1
30,D20250113,2025-01-13,0.5444172994387587,0.5003846153846153,0.5893535820402773,0.03980099502487562,1
31,D20250125,2025-01-25,0.549435457246616,0.4985354902608122,0.5938322878837899,0.01990049751243781,1
32,D20250206,2025-02-06,0.5484054143281611,0.49987619676460876,0.5938646417959722,0.05472636815920398,1
33,D20250218,2025-02-18,0.6729349620336745,0.6301125784087157,0.7200495212941564,,0
