k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.49851725570534217,0.4880778166172418,0.5106755201543391,,0
12,D20170712,2017-07-12,0.5858941115233826,0.5465334584473446,0.6229186663419433,,0
13,D20170724,2017-07-24,0.5368752059367076,0.500353375451867,0.5762412312746825,,0
14,D20170805,2017-08-05,0.5186787578375333,0.47922420956119366,0.5571335878591656,,0
15,D20170817,2017-08-17,0.3788089337134507,0.3389277681475008,0.41313189738740935,,0
16,D20170829,2017-08-29,0.4371612490389621,0.4020148369936345,0.4755334656103606,,0
17,D20170910,2017-09-10,0.4346709071720891,0.40096467916851714,0.47406009292819323,,0
18,D20170922,2017-09-22,0.43049725656490406,0.3906897506792927,0.46897238179829903,,0
19,D20171004,2017-10-04,0.4226680801684741,0.3877042653372109,0.46002846104990713,,0
20,D20171016,2017-10-16,0.40482739519313876,0.3638926693695113,0.44066605303496986,,0
21,D20171028,2017-10-28,0.3893481177981844,0.3508424900553462,0.42633733507155847,,0
22,D20171109,2017-11-09,0.38785104747169413,0.35562201242544494,0.4278646094484955,,0
23,D20171121,2017-11-21,0.3376860593384239,0.30654735469822214,0.3705973716506931,,0
24,D20171203,2017-12-03,0.29466259807362627,0.2584870397165356,0.3296173994431949,,0
25,D20171215,2017-12-15,0.29002812677583106,0.25452511592147425,0.3224151063230329,,0
26,D20171227,2017-12-27,0.30717161153532085,0.27509896900324243,0.33908296682568567,1.0,1
27,D20180108,2018-01-08,0.32745249726611564,0.29100605752379316,0.3624124321304241,1.0,1
28,D20180120,2018-01-20,0.32932681976419353,0.29605938617728944,0.36771115377085023,1.0,1
29,D20180201,2018-02-01,0.33171687940823935,0.3000350987779895,0.36503684177852913,1.0,1
30,D20180213,2018-02-13,0.3369888591225783,0.2985256125572444,0.3695261426204222,1.0,1
31,D20180225,2018-02-25,0.878591655563992,0.8508348495050356,0.9019767536256799,,0
