k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.5193091032381607,0.48376281582931013,0.5555247744843822,,0
12,D20170712,2017-07-12,0.5064204499329064,0.46731109933192944,0.5438387318596621,,0
13,D20170724,2017-07-24,0.5081921025361852,0.4684102044324743,0.5437234669952102,,0
14,D20170805,2017-08-05,0.4993792052872609,0.4638524967885812,0.5399757770678434,,0
15,D20170817,2017-08-17,0.45585433290832766,0.41802220773701226,0.49132881108261817,,0
16,D20170829,2017-08-29,0.4471488808981467,0.41463690672320674,0.48226401444064004,,0
17,D20170910,2017-09-10,0.4374644833794154,0.3964605150685978,0.4779645335205268,,0
18,D20170922,2017-09-22,0.4279305091949248,0.39069697338700826,0.4611291778290331,,0
19,D20171004,2017-10-04,0.39847380007545047,0.3671487376378284,0.43737960164080814,,0
20,D20171016,2017-10-16,0.37584344512413503,0.3382057361431457,0.4077679326103463,,0
21,D20171028,2017-10-28,0.37918379821306636,0.34404526548524655,0.4147638114885224,,0
22,D20171109,2017-11-09,0.3786680610670983,0.34330216227573795,0.4180910920734066,,0
23,D20171121,2017-11-21,0.3617943832404529,0.3288034420679149,0.3968604501239201,,0
24,D20171203,2017-12-03,0.33568280255385397,0.2972960808752251,0.36920965670052386,,0
25,D20171215,2017-12-15,0.33968454077904964,0.30336840823460315,0.37064381187054996,,0
26,D20171227,2017-12-27,0.4060236188511478,0.37235947356608357,0.44339844514801174,1.0,1
27,D20180108,2018-01-08,0.4748697524939234,0.43614672721802783,0.5103678686207374,0.9104477611940298,1
28,D20180120,2018-01-20,0.474177327622022,0.4373683795825394,0.5145764986223132,0.8905472636815921,1
29,D20180201,2018-02-01,0.47336551915151687,0.4368264974284773,0.509201013327985,0.8955223880597015,1
30,D20180213,2018-02-13,0.4670525144573538,0.42626642121398794,0.4993037548529433,0.9651741293532339,1
31,D20180225,2018-02-25,0.8322994713694254,0.8023266669531873,0.8591936115448715,,0
