k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.0023713826667517424,0.0042065950110554695,0.005102562718093395,-0.0018352123443037271,-0.0035602201998699455,0.00016350656514987216,0
12,D20170712,2017-07-12,0.0031861290335655212,0.005595749244093895,0.006299149245023727,-0.0024096202105283737,-0.0044431177084334195,0.00014107702299952067,0
13,D20170724,2017-07-24,0.003906693775206804,0.006517897825688124,0.007644311059266329,-0.0026112040504813194,-0.004750390199478716,-0.00047604967840016263,0
14,D20170805,2017-08-05,0.004783653654158115,0.0073420703411102295,0.009185710921883583,-0.002558416686952114,-0.004731262719724327,-8.059269748629048e-06,0
15,D20170817,2017-08-17,0.005905226804316044,0.00961671769618988,0.011562440544366837,-0.0037114908918738365,-0.006439585366751999,-0.0015591810806654409,0
16,D20170829,2017-08-29,0.007855836302042007,0.012870333157479763,0.01410293485969305,-0.005014496855437756,-0.007791085401549935,-0.0023245172807946804,0
17,D20170910,2017-09-10,0.008452923968434334,0.014065698720514774,0.01521808560937643,-0.0056127747520804405,-0.008226247876882553,-0.002748208562843504,0
18,D20170922,2017-09-22,0.008879966102540493,0.01476349402219057,0.016440415754914284,-0.005883527919650078,-0.008858570945449173,-0.0030226874863728886,0
19,D20171004,2017-10-04,0.009512589313089848,0.016967395320534706,0.019167646765708923,-0.0074548060074448586,-0.010148348310030997,-0.004179751710034911,0
20,D20171016,2017-10-16,0.013970592990517616,0.029824577271938324,0.03522053733468056,-0.015853984281420708,-0.02065706569701433,-0.01089311963878573,0
21,D20171028,2017-10-28,0.01513585727661848,0.03255343809723854,0.037277594208717346,-0.01741758082062006,-0.02272274107672274,-0.0119473289931193,0
22,D20171109,2017-11-09,0.015433007851243019,0.03424456715583801,0.038099586963653564,-0.018811559304594994,-0.02371965441852808,-0.012747016362845899,0
23,D20171121,2017-11-21,0.015920965000987053,0.039270758628845215,0.040051043033599854,-0.023349793627858162,-0.028512088395655156,-0.01710914457216859,0
24,D20171203,2017-12-03,0.016693301498889923,0.04643275961279869,0.04270012676715851,-0.029739458113908768,-0.03526052525267005,-0.023401961056515583,0
25,D20171215,2017-12-15,0.01953197829425335,0.05701211094856262,0.04720483720302582,-0.03748013265430927,-0.044322602543979885,-0.02907411842606962,0
26,D20171227,2017-12-27,0.034362584352493286,0.07717534154653549,0.057998448610305786,-0.042812757194042206,-0.05445774756371975,-0.03228268269449474,1
27,D20180108,2018-01-08,0.059756550937891006,0.09988519549369812,0.07316058874130249,-0.040128644555807114,-0.05340261710807681,-0.026058297604322437,1
28,D20180120,2018-01-20,0.0630723088979721,0.10681457072496414,0.07500756531953812,-0.043742261826992035,-0.05841971980407834,-0.029997379519045356,1
29,D20180201,2018-02-01,0.06560420244932175,0.11125019937753677,0.0763203427195549,-0.04564599692821503,-0.06155047900974751,-0.031608644314110285,1
30,D20180213,2018-02-13,0.07006010413169861,0.11643831431865692,0.08055193722248077,-0.04637821018695831,-0.06214520521461964,-0.031463664583861836,1
31,D20180225,2018-02-25,0.4458942413330078,0.16128787398338318,0.10068677365779877,0.28460636734962463,0.2505494236946106,0.31795484870672225,0
