k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20240518,2024-05-18,0.5810960713106637,0.5323610102344007,0.6223583690987124,,0
12,D20240530,2024-05-30,0.5869131726642457,0.5437953119841532,0.640748101683724,,0
13,D20240611,2024-06-11,0.5692175635523276,0.5217362165731264,0.6130990425883129,,0
14,D20240623,2024-06-23,0.5788048861010234,0.5301129085506768,0.6250610762627931,,0
15,D20240705,2024-07-05,0.5629580719709475,0.5059488279960384,0.604847474413998,,0
16,D20240717,2024-07-17,0.5578870914493232,0.5154902608121492,0.6019131726642456,,0
17,D20240729,2024-07-29,0.5661538461538462,0.5237405084186201,0.6146381644106965,,0
18,D20240822,2024-08-22,0.578336084516342,0.5280891383294817,0.629603169362826,,0
19,D20240903,2024-09-03,0.5833674480026412,0.5316566523605151,0.6287817761637503,,0
20,D20240915,2024-09-15,0.5752261472433147,0.5268520964014527,0.6202337405084186,,0
21,D20240927,2024-09-27,0.564641795972268,0.5188719049191152,0.6146744800264113,,0
22,D20241009,2024-10-09,0.5567117860680093,0.5094453615054474,0.5991439418950149,,0
23,D20241021,2024-10-21,0.5393859359524595,0.49840871574777157,0.5850650379663255,,0
24,D20241102,2024-11-02,0.5307890392868934,0.4838375701551667,0.5807679102013866,,0
25,D20241114,2024-11-14,0.5340772532188841,0.4850739517992737,0.5795754374380985,,0
26,D20241126,2024-11-26,0.5424364476724992,0.49371673819742484,0.5884139980191481,,0
27,D20241208,2024-12-08,0.5266424562561902,0.4734780455595906,0.5681115879828327,,0
28,D20241220,2024-12-20,0.5139253879168042,0.47074447012215254,0.5697309343017497,0.32338308457711445,1
29,D20250101,2025-01-01,0.516038296467481,0.4716830637173985,0.5688993067018817,0.19900497512437812,1
30,D20250113,2025-01-13,0.5233806536810829,0.48032386926378345,0.5757243314625289,0.208955223880597,1
31,D20250125,2025-01-25,0.5318058765269066,0.48399438758666224,0.5757675800594256,0.14925373134328357,1
32,D20250206,2025-02-06,0.5201848794981843,0.4713984813469792,0.5685288874215912,0.25870646766169153,1
33,D20250218,2025-02-18,0.5666490590954111,0.5171201716738199,0.61188610102344,,0
