k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,1.5274588349711848e-06,3.72782742488198e-05,0.0006217361078597605,-3.5750815413848613e-05,-9.166223244392314e-05,-4.986407930118741e-07,0
12,D20170712,2017-07-12,0.0001464182132622227,0.00047705473843961954,0.0016925256932154298,-0.00033063652517739683,-0.0008588052762206643,-6.595052109332764e-05,0
13,D20170724,2017-07-24,0.000698164280038327,0.0017990441992878914,0.0062945326790213585,-0.0011008799192495644,-0.0020282546465750784,-0.00022411387762986154,0
14,D20170805,2017-08-05,0.0014519736869260669,0.0037821242585778236,0.009180867113173008,-0.0023301505716517568,-0.00375584953580983,-0.000897375732893125,0
15,D20170817,2017-08-17,0.0020699726883322,0.007107232231646776,0.013131101615726948,-0.005037259543314576,-0.007152665627654642,-0.0030215239094104674,0
16,D20170829,2017-08-29,0.0044026761315763,0.011191854253411293,0.016469508409500122,-0.006789178121834993,-0.009641881845891476,-0.004002983379177756,0
17,D20170910,2017-09-10,0.004503482952713966,0.01214323379099369,0.016990862786769867,-0.007639750838279724,-0.011419466347433627,-0.004503972746897492,0
18,D20170922,2017-09-22,0.004591191653162241,0.013073969632387161,0.01782340556383133,-0.00848277797922492,-0.012014891975559295,-0.0053856018348597025,0
19,D20171004,2017-10-04,0.004761922638863325,0.016561953350901604,0.018699530512094498,-0.011800030712038279,-0.01570675792172551,-0.008084379252977671,0
20,D20171016,2017-10-16,0.004886504728347063,0.022299399599432945,0.021993162110447884,-0.017412894871085882,-0.022934251464903355,-0.011488773184828468,0
21,D20171028,2017-10-28,0.005539047531783581,0.027667518705129623,0.02477814443409443,-0.022128471173346043,-0.029265552759170532,-0.01579174876678738,0
22,D20171109,2017-11-09,0.005575734656304121,0.028829608112573624,0.025516221299767494,-0.023253873456269503,-0.030179849034175275,-0.016961075505241754,0
23,D20171121,2017-11-21,0.0060302214697003365,0.04071870818734169,0.030099891126155853,-0.034688486717641354,-0.041414876189082864,-0.02681092834100128,0
24,D20171203,2017-12-03,0.0066511803306639194,0.05682166665792465,0.03387457877397537,-0.05017048632726073,-0.06049004495143891,-0.04072868339717388,0
25,D20171215,2017-12-15,0.01010002288967371,0.08688972890377045,0.04073701426386833,-0.07678970601409674,-0.08933850601315499,-0.06678551901131868,0
26,D20171227,2017-12-27,0.012092151679098606,0.10777110606431961,0.043997082859277725,-0.095678954385221,-0.1111720610409975,-0.08266749046742917,1
27,D20180108,2018-01-08,0.014366952702403069,0.12636534869670868,0.046506550163030624,-0.11199839599430561,-0.1267476473003626,-0.09842622801661492,1
28,D20180120,2018-01-20,0.014934133738279343,0.12811017036437988,0.0473872572183609,-0.11317603662610054,-0.12930405251681804,-0.09770667646080257,1
29,D20180201,2018-02-01,0.01711372286081314,0.12859298288822174,0.048328496515750885,-0.1114792600274086,-0.1279475837945938,-0.09479880910366774,1
30,D20180213,2018-02-13,0.023429222404956818,0.1324179470539093,0.056847162544727325,-0.10898872464895248,-0.12745185904204845,-0.08965583760291339,1
31,D20180225,2018-02-25,0.6708677411079407,0.1977749913930893,0.0760534331202507,0.4730927497148514,0.4359449207782745,0.5152119040489196,0
