k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.3281371077305987,0.2982223533780162,0.35699725391553017,0
12,D20170712,2017-07-12,0.39051011577187755,0.3671952168910683,0.41798986327851273,0
13,D20170724,2017-07-24,0.32653747259092736,0.29802046054466097,0.35828714787197713,0
14,D20170805,2017-08-05,0.3291609898040417,0.29891304033738986,0.3619358173791219,0
15,D20170817,2017-08-17,0.336007177769719,0.30826792600308894,0.3659233167229416,0
16,D20170829,2017-08-29,0.3844749425812134,0.35781159775208277,0.4153668938856517,0
17,D20170910,2017-09-10,0.3789495432262687,0.3541392395339844,0.4079141063594828,0
18,D20170922,2017-09-22,0.3599521000418511,0.33407732139735347,0.3910782234345705,0
19,D20171004,2017-10-04,0.34762578314216214,0.3211238526476695,0.37598797877684137,0
20,D20171016,2017-10-16,0.3584215745341361,0.33013545367463376,0.3889066097704163,0
21,D20171028,2017-10-28,0.3638812354586833,0.3374128965797234,0.39659910176742463,0
22,D20171109,2017-11-09,0.35877362429692383,0.3301856063178244,0.3873584757545592,0
23,D20171121,2017-11-21,0.34065558311914157,0.31283979905712306,0.3698375225328704,0
24,D20171203,2017-12-03,0.32248239871586115,0.29484409637591014,0.35114979645166583,0
25,D20171215,2017-12-15,0.3206395554637304,0.2924503325690338,0.35213994844951213,0
26,D20171227,2017-12-27,0.3927628008135191,0.3589145224620752,0.4194492022533111,1
27,D20180108,2018-01-08,0.403868983549018,0.373927115103898,0.4361741907069458,1
28,D20180120,2018-01-20,0.4086363441534455,0.3802721137578254,0.43855289246685747,1
29,D20180201,2018-02-01,0.40830307679934275,0.37807228434062423,0.43580278663520855,1
30,D20180213,2018-02-13,0.40534556983179154,0.37539936698466725,0.4377729890662301,1
31,D20180225,2018-02-25,0.9818831628227744,0.9735402697250207,0.9882359152402872,0
