k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.0024180025793612003,0.00991812627762556,0.010919047519564629,-0.00750012369826436,-0.010652024345472456,-0.00438007995253429,0
12,D20170712,2017-07-12,0.003542347112670541,0.010966680943965912,0.013288999907672405,-0.007424333831295371,-0.010896440269425512,-0.003971016383729881,0
13,D20170724,2017-07-24,0.004428906831890345,0.011943661607801914,0.015741076320409775,-0.00751475477591157,-0.011126913805492222,-0.004443731461651625,0
14,D20170805,2017-08-05,0.005961863324046135,0.01327518094331026,0.018002597615122795,-0.007313317619264126,-0.010787917790003121,-0.0036148987826891254,0
15,D20170817,2017-08-17,0.0074934642761945724,0.015695467591285706,0.021304136142134666,-0.008202003315091133,-0.012264528265222906,-0.0046877958229743,0
16,D20170829,2017-08-29,0.01108708418905735,0.023758415132761,0.026500903069972992,-0.012671330943703651,-0.017524935118854047,-0.007465132046490909,0
17,D20170910,2017-09-10,0.012164605781435966,0.028990795835852623,0.028778666630387306,-0.016826190054416656,-0.022919336333870888,-0.011802485003136099,0
18,D20170922,2017-09-22,0.013039307668805122,0.030689602717757225,0.03153090178966522,-0.017650295048952103,-0.023816596856340765,-0.011619263608008626,0
19,D20171004,2017-10-04,0.013760491274297237,0.03338989242911339,0.03394889459013939,-0.01962940115481615,-0.024936271458864213,-0.013211290538311006,0
20,D20171016,2017-10-16,0.027879096567630768,0.054125215858221054,0.0638929232954979,-0.026246119290590286,-0.03539512101560831,-0.017787918867543346,0
21,D20171028,2017-10-28,0.030742943286895752,0.05753115564584732,0.06760948151350021,-0.02678821235895157,-0.03714057188481092,-0.016294358577579264,0
22,D20171109,2017-11-09,0.030848169699311256,0.058297816663980484,0.06852631270885468,-0.027449646964669228,-0.03613168839365244,-0.015991896763443952,0
23,D20171121,2017-11-21,0.031242424622178078,0.06602361798286438,0.07129445672035217,-0.0347811933606863,-0.044845102913677694,-0.023808124661445624,0
24,D20171203,2017-12-03,0.032560355961322784,0.08074145764112473,0.07626105844974518,-0.04818110167980194,-0.05886453008279204,-0.03763712644577027,0
25,D20171215,2017-12-15,0.035651564598083496,0.10086485743522644,0.08527303487062454,-0.06521329283714294,-0.07745308186858893,-0.05339832566678524,0
26,D20171227,2017-12-27,0.04992266744375229,0.13724303245544434,0.09733311831951141,-0.08732036501169205,-0.1070667551830411,-0.0721326319500804,1
27,D20180108,2018-01-08,0.06312014907598495,0.16541312634944916,0.1082884892821312,-0.1022929772734642,-0.12055009249597788,-0.08206976093351842,1
28,D20180120,2018-01-20,0.06823231279850006,0.17726148664951324,0.11205390095710754,-0.10902917385101318,-0.12979331463575364,-0.08940674532204868,1
29,D20180201,2018-02-01,0.0721597820520401,0.18461528420448303,0.1148570328950882,-0.11245550215244293,-0.13707030937075615,-0.08885163255035877,1
30,D20180213,2018-02-13,0.07621303200721741,0.19145549833774567,0.11894793063402176,-0.11524246633052826,-0.13624610826373101,-0.09293401557952166,1
31,D20180225,2018-02-25,0.9049118757247925,0.33751627802848816,0.14449408650398254,0.5673955976963043,0.5396216094493866,0.5957719832658768,0
