k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20240518,2024-05-18,0.5651039947177288,0.5122027071640806,0.6128991416309013,,0
12,D20240530,2024-05-30,0.5665434136678771,0.5219291845493562,0.6174225817101353,,0
13,D20240611,2024-06-11,0.5542357213601848,0.5049555959062396,0.6040163420270717,,0
14,D20240623,2024-06-23,0.5453284912512381,0.498771211620997,0.5944998349290194,,0
15,D20240705,2024-07-05,0.5283724001320568,0.4725731264443711,0.5783040607461208,,0
16,D20240717,2024-07-17,0.5230505117200396,0.47528986464179596,0.5691254539451964,,0
17,D20240729,2024-07-29,0.5379993397160779,0.492587982832618,0.5853268405414327,,0
18,D20240822,2024-08-22,0.5484846483988115,0.4981921426213271,0.5901571475734565,,0
19,D20240903,2024-09-03,0.5602839220864972,0.5127487619676461,0.6081259491581379,,0
20,D20240915,2024-09-15,0.544839881148894,0.4966899966985804,0.5873892373720699,,0
21,D20240927,2024-09-27,0.5338791680422581,0.4864717728623308,0.5822548695939254,,0
22,D20241009,2024-10-09,0.5310003301419611,0.47941366787718714,0.5759141630901287,,0
23,D20241021,2024-10-21,0.5208583690987125,0.47897887091449326,0.5671257840871575,,0
24,D20241102,2024-11-02,0.5123275008253548,0.4626285902938263,0.5625797292835918,,0
25,D20241114,2024-11-14,0.5123142951469132,0.4651013535820403,0.5551881809177946,,0
26,D20241126,2024-11-26,0.5199339716077913,0.4719980191482337,0.5676748101683724,,0
27,D20241208,2024-12-08,0.5124199405744471,0.46023374050841864,0.5559144932320899,,0
28,D20241220,2024-12-20,0.5273555628920436,0.47972036975899635,0.5825912842522284,0.10945273631840796,1
29,D20250101,2025-01-01,0.5247012215252558,0.4799498184219214,0.5746157147573456,0.12437810945273632,1
30,D20250113,2025-01-13,0.5288610102344008,0.4847560250907891,0.5778745460548036,0.13432835820895522,1
31,D20250125,2025-01-25,0.5319115219544404,0.47791020138659623,0.58264872895345,0.08955223880597014,1
32,D20250206,2025-02-06,0.543862660944206,0.49321690326840545,0.58874050841862,0.07960199004975124,1
33,D20250218,2025-02-18,0.6779267084846483,0.6364981842192142,0.721328821393199,,0
