k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.5000071630159162,0.4887209957547193,0.5144568762565124,,0
12,D20170712,2017-07-12,0.5878973683079524,0.5451532646638875,0.6208491516601483,,0
13,D20170724,2017-07-24,0.4893796350682158,0.45415825012296507,0.5302769341336809,,0
14,D20170805,2017-08-05,0.46131732638043255,0.42355002650315887,0.5005985893633988,,0
15,D20170817,2017-08-17,0.3395197914129765,0.2981623282666934,0.37343082197995303,,0
16,D20170829,2017-08-29,0.3738616773873138,0.339377486163441,0.4110978396343996,,0
17,D20170910,2017-09-10,0.37205659737642605,0.3358575801422098,0.4198819654360605,,0
18,D20170922,2017-09-22,0.36585820093692245,0.3277806827786771,0.4050535674206935,,0
19,D20171004,2017-10-04,0.3608679665152883,0.3238631696822964,0.398221184380805,,0
20,D20171016,2017-10-16,0.34571341250853593,0.3055638726129249,0.3877778653257501,,0
21,D20171028,2017-10-28,0.33195564660544674,0.29508760368465536,0.3732568800767875,,0
22,D20171109,2017-11-09,0.32415512227268173,0.2869834868606411,0.36310414070073393,,0
23,D20171121,2017-11-21,0.28333309456613615,0.24619046936855626,0.32124287876834323,,0
24,D20171203,2017-12-03,0.26469492715212817,0.23128238280112123,0.301653641916059,,0
25,D20171215,2017-12-15,0.2569875220262739,0.22464638578093588,0.2911408416066167,,0
26,D20171227,2017-12-27,0.27978023867169033,0.24955117736104943,0.31435647465008665,1.0,1
27,D20180108,2018-01-08,0.29339713192842715,0.2580982073358834,0.33336288077398774,1.0,1
28,D20180120,2018-01-20,0.2939200320903113,0.26400596440458624,0.3360051979618831,1.0,1
29,D20180201,2018-02-01,0.2998223572052777,0.26379131269429684,0.3370450291057213,1.0,1
30,D20180213,2018-02-13,0.3176320024449761,0.2799654623249239,0.350947249163121,1.0,1
31,D20180225,2018-02-25,0.9006823966496186,0.876921001485132,0.9198137377094585,,0
