k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.4880711908275194,0.45335587295674973,0.5236846315105845,,0
12,D20170712,2017-07-12,0.4752971457769246,0.43490609286133836,0.5122196873104786,,0
13,D20170724,2017-07-24,0.46180441146273565,0.4222976925538062,0.4962265232153346,,0
14,D20170805,2017-08-05,0.4363446652245128,0.40161436471211837,0.47987413387199196,,0
15,D20170817,2017-08-17,0.3820155771719458,0.34292843192030903,0.4217392160795381,,0
16,D20170829,2017-08-29,0.3692486951372672,0.33017599530106156,0.4059342005357935,,0
17,D20170910,2017-09-10,0.3439942886886428,0.30350020772746156,0.3841552894097197,,0
18,D20170922,2017-09-22,0.3136756299872498,0.27810134712452667,0.3448562979623607,,0
19,D20171004,2017-10-04,0.311383464894059,0.27696839677377766,0.3493947848468786,,0
20,D20171016,2017-10-16,0.34927820676284216,0.30920972833068305,0.38232895911828046,,0
21,D20171028,2017-10-28,0.3481488379200512,0.3122643964681556,0.38293847208095155,,0
22,D20171109,2017-11-09,0.34658491277834286,0.30973370294495456,0.38704843153828156,,0
23,D20171121,2017-11-21,0.33175746983176463,0.2921761958655072,0.3714668423993238,,0
24,D20171203,2017-12-03,0.29984862159697045,0.2650689559665535,0.3318601397265638,,0
25,D20171215,2017-12-15,0.2963578451737986,0.2583550611482792,0.3329236088229255,,0
26,D20171227,2017-12-27,0.35450243303773954,0.3173754470915768,0.38918432350090015,1.0,1
27,D20180108,2018-01-08,0.33095521204914785,0.2938429102856133,0.3630602075364478,1.0,1
28,D20180120,2018-01-20,0.3311987545902994,0.29910211595490166,0.36807539313019016,1.0,1
29,D20180201,2018-02-01,0.32652846821292303,0.2940369086333443,0.35750576622781255,1.0,1
30,D20180213,2018-02-13,0.31622327598145256,0.2808942070302613,0.3533226843163379,1.0,1
31,D20180225,2018-02-25,0.9207770439665917,0.898770348934382,0.9386790921116094,,0
