k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20240518,2024-05-18,0.3467811158798283,0.06345493562231759,0.6304721030042915,0
12,D20240530,2024-05-30,0.37768240343347637,0.0857510729613734,0.7116738197424892,0
13,D20240611,2024-06-11,0.41802575107296136,0.1583476394849785,0.7506223175965657,0
14,D20240623,2024-06-23,0.384549356223176,0.15139484978540768,0.6311587982832615,0
15,D20240705,2024-07-05,0.3888412017167382,0.13472103004291844,0.6425536480686694,0
16,D20240717,2024-07-17,0.3991416309012875,0.1339055793991416,0.6565021459227466,0
17,D20240729,2024-07-29,0.3399141630901288,0.06645922746781116,0.6531115879828323,0
18,D20240822,2024-08-22,0.36738197424892705,0.1074892703862661,0.6754721030042916,0
19,D20240903,2024-09-03,0.41115879828326185,0.1219098712446352,0.7120815450643776,0
20,D20240915,2024-09-15,0.4291845493562232,0.14881974248927038,0.696137339055794,0
21,D20240927,2024-09-27,0.4291845493562232,0.14755364806866952,0.6987124463519314,0
22,D20241009,2024-10-09,0.4317596566523606,0.2244420600858369,0.7141630901287555,0
23,D20241021,2024-10-21,0.37596566523605157,0.16815450643776825,0.5875751072961374,0
24,D20241102,2024-11-02,0.27553648068669523,0.09388412017167382,0.48974248927038583,0
25,D20241114,2024-11-14,0.296137339055794,0.10896995708154507,0.4992918454935621,0
26,D20241126,2024-11-26,0.31845493562231764,0.12532188841201716,0.5399570815450644,0
27,D20241208,2024-12-08,0.3244635193133047,0.11783261802575107,0.5473605150214591,0
28,D20241220,2024-12-20,0.37596566523605146,0.1784549356223176,0.6122317596566521,1
29,D20250101,2025-01-01,0.3888412017167382,0.14828326180257512,0.656909871244635,1
30,D20250113,2025-01-13,0.407725321888412,0.19259656652360516,0.6536051502145919,1
31,D20250125,2025-01-25,0.4480686695278969,0.21454935622317595,0.6821673819742488,1
32,D20250206,2025-02-06,0.5047210300429185,0.2196137339055794,0.7433905579399142,1
33,D20250218,2025-02-18,0.7957081545064377,0.6110729613733905,0.9408154506437768,0
