k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.4676064543548749,0.4239189815146436,0.4988029406568008,,0
12,D20170712,2017-07-12,0.46618340185951895,0.43262586612800785,0.5067963888849094,,0
13,D20170724,2017-07-24,0.4952700218233218,0.45570367080688984,0.5285733898734056,,0
14,D20170805,2017-08-05,0.37163636710934106,0.33695925199012455,0.4066970617308711,,0
15,D20170817,2017-08-17,0.5667043918838254,0.5244004555678123,0.6064981686555975,,0
16,D20170829,2017-08-29,0.3015820714486961,0.259339259535168,0.3425791155107947,,0
17,D20170910,2017-09-10,0.3500231604181291,0.317964605150686,0.39171191305053743,,0
18,D20170922,2017-09-22,0.39477290851873603,0.3505532235959295,0.43283610064514894,,0
19,D20171004,2017-10-04,0.3626443944625112,0.32390608808599436,0.4012011183855517,,0
20,D20171016,2017-10-16,0.5264148150270523,0.49421323820848195,0.5661988023437388,,0
21,D20171028,2017-10-28,0.5322980387662422,0.49615501243977095,0.5707883854084591,,0
22,D20171109,2017-11-09,0.367911598832906,0.33366378713426836,0.40500802257782614,,0
23,D20171121,2017-11-21,0.47797850140156345,0.4420089394438635,0.5158950904688909,,0
24,D20171203,2017-12-03,0.5307317259525617,0.49674345419728855,0.5599351030757991,,0
25,D20171215,2017-12-15,0.7369501788366307,0.7063464321017721,0.7695512131761288,,0
26,D20171227,2017-12-27,0.8609849624419199,0.8324491784020744,0.8827605308272328,0.004975124378109453,1
27,D20180108,2018-01-08,0.9014177996170173,0.8783494262424252,0.9211227788681479,0.004975124378109453,1
28,D20180120,2018-01-20,0.9014130242730732,0.8810330501554374,0.9172065192995525,0.004975124378109453,1
29,D20180201,2018-02-01,0.923926383297757,0.9059942504858913,0.9382534895825871,0.004975124378109453,1
30,D20180213,2018-02-13,0.9372639189337613,0.9218259482639237,0.9527004570004155,0.004975124378109453,1
31,D20180225,2018-02-25,0.6991724328944792,0.6629932333376312,0.7379738931946573,,0
