k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.05607806518673897,0.07524122297763824,0.039116524159908295,-0.019163157790899277,-0.040900634881108996,0.0038485471159219737,0
12,D20170712,2017-07-12,0.015542624518275261,0.023646783083677292,0.020044734701514244,-0.008104158565402031,-0.019502175133675338,0.004838045313954353,0
13,D20170724,2017-07-24,0.011941207572817802,0.034636709839105606,0.019746089354157448,-0.022695502266287804,-0.03393002208322286,-0.009847173001617198,0
14,D20170805,2017-08-05,0.01770995743572712,0.036521948873996735,0.021776314824819565,-0.018811991438269615,-0.03320943340659142,-0.002983190957456848,0
15,D20170817,2017-08-17,0.03217422962188721,0.024667061865329742,0.01477828063070774,0.007507167756557465,-0.009901188476942479,0.02489465633407234,0
16,D20170829,2017-08-29,0.002654450014233589,0.002943779341876507,0.0054286327213048935,-0.00028932932764291763,-0.0032896321499720216,0.0038874831632710956,0
17,D20170910,2017-09-10,0.0071815005503594875,0.012093167752027512,0.013707151636481285,-0.004911667201668024,-0.011384344613179564,0.004364114440977569,0
18,D20170922,2017-09-22,0.003262237412855029,0.010742663405835629,0.007116096094250679,-0.007480425992980599,-0.013632250716909766,-0.0026122365379706034,0
19,D20171004,2017-10-04,0.00644255056977272,0.015050633810460567,0.01425023004412651,-0.008608083240687847,-0.015600832970812916,0.0017659817822277429,0
20,D20171016,2017-10-16,0.016722291707992554,0.01999691314995289,0.018025895580649376,-0.0032746214419603348,-0.016421744832769036,0.011943920608609911,0
21,D20171028,2017-10-28,0.014867551624774933,0.013688051141798496,0.01459330040961504,0.0011795004829764366,-0.011487047374248504,0.014936312078498304,0
22,D20171109,2017-11-09,0.05911860242486,0.13132962584495544,0.040412936359643936,-0.07221102342009544,-0.09654286224395037,-0.045907950960099704,0
23,D20171121,2017-11-21,0.016396496444940567,0.041220616549253464,0.01608148217201233,-0.024824120104312897,-0.03721243552863598,-0.012029041023924948,0
24,D20171203,2017-12-03,0.025904061272740364,0.054991140961647034,0.018258867785334587,-0.02908707968890667,-0.04174855519086122,-0.017781590204685938,0
25,D20171215,2017-12-15,0.2947447896003723,0.1319504976272583,0.02559916488826275,0.162794291973114,0.12362488619983196,0.20439389906823635,0
26,D20171227,2017-12-27,0.9219481945037842,0.4988729655742645,0.11929716169834137,0.42307522892951965,0.39246639609336853,0.455902437120676,1
27,D20180108,2018-01-08,0.9478315114974976,0.412087082862854,0.09626565873622894,0.5357444286346436,0.5071245729923248,0.5702417895197868,1
28,D20180120,2018-01-20,0.9510263800621033,0.4177789092063904,0.10480614751577377,0.5332474708557129,0.5042622089385986,0.5651100590825081,1
29,D20180201,2018-02-01,0.9696303009986877,0.4741354286670685,0.10167605429887772,0.49549487233161926,0.46376481354236604,0.5222558841109275,1
30,D20180213,2018-02-13,0.9547759294509888,0.37975946068763733,0.07455632835626602,0.5750164687633514,0.5426692709326744,0.605461560189724,1
31,D20180225,2018-02-25,0.27574849128723145,0.12938475608825684,0.03967929631471634,0.1463637351989746,0.10486435703933239,0.1834535676985979,0
