ID,Fi,Lambda,E_utm,N_utm,distance_m,label_text,epoch_col,epoch_date,risk,top20
D10112119153,-33.48103896,149.01310147,687043.6221253517,6293569.808365621,2790.1371071917774,far-field,D20180213,2018-02-13,0.0012057063,0
D10112119155,-33.48101766,149.01301092,687035.2532737333,6293572.333606686,2787.818977572571,far-field,D20180213,2018-02-13,0.00025706404,0
D10112119156,-33.481007,149.0129656,687031.064686166,6293573.597414462,2786.6682744574046,far-field,D20180213,2018-02-13,0.00034118947,0
D10112219136,-33.48134761,149.01385338,687112.8318469627,6293534.225247824,2798.056060107528,far-field,D20180213,2018-02-13,0.15358393,0
D10112219148,-33.48121713,149.01329875,687061.5718416749,6293549.694574856,2782.8276244609337,far-field,D20180213,2018-02-13,0.0016284069,0
D10112219152,-33.48117472,149.01311845,687044.9081115118,6293554.722571005,2778.080735948443,far-field,D20180213,2018-02-13,0.0003925253,0
D10112219153,-33.48116407,149.01307316,687040.7222991083,6293555.985220382,2776.903926242612,far-field,D20180213,2018-02-13,0.001624401,0
D10112219154,-33.48115342,149.01302788,687036.5374149979,6293557.247849874,2775.733983011031,far-field,D20180213,2018-02-13,0.00031425187,0
D10112219157,-33.48112119,149.01289086,687023.8737035303,6293561.068904027,2772.2328641798067,far-field,D20180213,2018-02-13,0.9192445,1
D10112219158,-33.48111018,149.01284407,687019.5492679357,6293562.374169056,2771.051117916884,far-field,D20180213,2018-02-13,0.69074035,1
D10112219177,-33.48090579,149.01197523,686939.2488394626,6293586.60520228,2750.357668110848,far-field,D20180213,2018-02-13,0.055796944,0
D10112219180,-33.48087483,149.01184361,686927.0841422753,6293590.275563329,2747.4322353645393,far-field,D20180213,2018-02-13,0.00086089614,0
D10112319135,-33.48148558,149.01387967,687114.978119704,6293518.877575971,2786.5232274351442,far-field,D20180213,2018-02-13,0.047406998,0
D10112319139,-33.48144,149.01368597,687097.0760518275,6293524.281360923,2781.032549652224,far-field,D20180213,2018-02-13,0.0028152366,0
D10112319141,-33.48141779,149.01359159,687088.3532953382,6293526.914469161,2778.398997588168,far-field,D20180213,2018-02-13,0.01078675,0
D10112319142,-33.48140677,149.01354473,687084.0223988465,6293528.220999329,2777.1009162922874,far-field,D20180213,2018-02-13,0.0410614,0
D10112319145,-33.48137441,149.01340718,687071.3097690134,6293532.05749009,2773.330884170135,far-field,D20180213,2018-02-13,0.46835077,1
D10112319148,-33.48134245,149.01327132,687058.7533179873,6293535.846559793,2769.664385125579,far-field,D20180213,2018-02-13,0.13673529,0
D10112319149,-33.4813318,149.01322604,687054.5684446777,6293537.10919763,2768.454954581673,far-field,D20180213,2018-02-13,0.82823193,1
D10112319152,-33.48129983,149.01309013,687042.0073568483,6293540.899443998,2764.863440585952,far-field,D20180213,2018-02-13,0.0014536413,0
D10112319153,-33.48128918,149.01304483,687037.8206210106,6293542.162110408,2763.6785995749615,far-field,D20180213,2018-02-13,0.010195187,0
D10112319157,-33.48124651,149.01286346,687021.0580204782,6293547.220826376,2759.001956062908,far-field,D20180213,2018-02-13,0.14910011,0
D10112319168,-33.48112751,149.01235761,686974.3061863679,6293561.328708177,2746.505332151619,far-field,D20180213,2018-02-13,0.005619336,0
D10112319169,-33.48111676,149.01231193,686970.0843367355,6293562.60311844,2745.417166979282,far-field,D20180213,2018-02-13,0.00024511953,0
